index,0
동안,181
번,613
정도,1222
석,297
총,12
소,19
중,695
품,179
다육,855
일반,167
식물,11520
사용,7200
잎,2828
물,1649
주,287
말,331
분무기,285
용법,120
좀,1426
저,1676
분,787
분무,122
경우,170
얼룩,20
조금,706
남지,27
목초액,329
냄새,1165
아주,1006
거실,369
화분,3354
개,1357
겨울,681
소량,66
잔,37
향,605
결과,340
배송,3704
때,1703
줄기,195
아메,12
치스,12
자구,18
생장점,13
라울,12
도,491
얼굴,25
해,1655
얘,73
두,229
베란다,735
힘,348
이제,515
타이밍,27
꽃,1285
기린,38
꽃대,102
배,166
기존,250
것,4127
달리,35
햇볕,536
색도,92
빨강,15
효과,4971
란,53
타나,12
다시,857
시작,598
햇빛,1460
가장,485
나,239
계열,12
늦가을,15
노랑,119
분홍,81
월동,20
걱정,1052
하나,1137
또,983
안심,218
너튜버,12
추천,863
검색,410
구매,5176
장소,67
유기,5
양제,1531
함,120
애,706
영양,503
제로,253
찬,34
바람,128
환절기,14
오니,5
여름,183
덜,139
날,1072
위해,472
듬뿍,181
주어,53
의미,16
꼭,560
바,321
재품,12
가격,699
자꾸,249
부담,171
요즘,404
제,1446
시간,947
이후,94
아이,711
생기,404
타입,181
용량,539
두고두고,24
수,2179
우리,331
미사,9
용이,106
움,60
보고,1183
후기,1341
추가,493
일단,773
양도,183
려고,160
거,1733
기적,104
계속,659
녀석,53
링거,1
존재,15
사진,541
개월,124
동고동락,7
반려,228
엑사,7
컴,7
더,3055
집,2252
안,927
환기,234
자주,308
점,491
항상,199
마음,958
혹시,122
중꽃,7
제인,7
사,267
고민,735
해결,128
흙,778
모두,379
제일,259
모든,167
영양소,68
대신,291
하니,318
자연,170
앞,354
초보자,25
필수,179
템,75
관리,372
법,6
우선,256
리뷰,769
보통,134
직접,481
흡수,36
공급,104
생각,1625
딸기,277
열매,201
실내,541
늘,118
통,312
화장실,31
뿌리,3618
찍업,5
느낌,807
하나로,101
점도,115
고루,113
정말,1258
주기도,50
하고꽃필쯔음,5
편리,6
뒤,269
항,5
방법,409
고집,4
서사,8
부분,709
정리,374
아침,145
초록,328
볕,119
누렇,79
알,792
덕분,490
요물,39
안주,10
한번,1206
뿐,107
번갈아,11
할머니,7
막,171
도움,831
구입,1809
전혀,339
기분,483
탓,140
윤기,73
타,193
인체,95
무,137
봄맞이,30
잔뜩,44
원래,220
봄꽃,9
보이,158
제도,131
자라,256
그냥,562
요,819
이,1304
가성,146
비,389
아파트,180
케어,81
야외,40
광합성,153
기도,174
제품,3692
이름,148
직관,10
이해,71
전,629
용,640
별도,38
일부러,15
리필용,26
대비,159
양,357
이전,65
별거,3
봣,38
역시,192
쓰기,243
스프레이,479
강낭콩,11
봉선화,21
플랜,140
테리어,173
정성껏,21
똥손,40
매번,116
지금,424
만족,301
국산,58
재료,67
국내,67
생산,51
가지,331
비도,49
굿,143
건강,50
보충,52
일만,36
못,342
환경,197
해도,207
산이,10
국매,6
리필,154
사고,86
다이소,27
헤드,29
사서,338
깨,15
몇,241
확,178
비포,4
애프터,4
차이,211
전날,4
저녁,130
담날,20
오후,49
옴,8
워낙,121
커서,86
기,177
부어,97
일부,21
형태,99
분사,450
고유,4
때문,815
해주시,30
더욱,68
이사,104
며칠,266
제조,78
그거,20
보도,12
눈길,3
선택,349
가끔,146
전부,63
는걸,44
주기,266
제의,5
특징,24
용기,139
통해,99
농약,490
성분,472
포함,91
가정,129
친구,244
함유,16
제라,89
뾱뾱,4
아빠,32
전담,4
일,345
주문,1422
바로,947
다음,525
도착,354
용도,144
머리,81
축,35
진짜,605
입,156
비실,170
정원,74
로망,3
잎사귀,126
완료,47
지벵,4
끝쪽,12
상하,21
끝,215
빛,3751
굿굿,49
비템,8
사무실,150
보라,91
제공,97
고작,9
미만,4
바깥,28
마련,49
이기심,4
구,164
접,8
깨달음,4
잡과,4
작물,225
하우스,26
대해,110
분석,18
최적화,4
연구,7
어머니,69
분무해,9
녹색,96
나름,109
순간,62
시들시들,97
이번,481
쟈,3
대도,101
햋빛,3
잘못,41
유통,22
기한,22
요새,29
재미,38
맛,34
금방,284
맘,480
빨,189
인지,143
해지,29
이파리,27
약,371
종류,202
매니아,6
후,927
여,87
처음,968
일이,85
래서,13
간혹,47
화병,5
쏮아두,3
영,40
활기,16
집안,220
잠깐,62
친환경,348
피부,49
동물,20
일정량,3
마당,146
해충,345
취약,3
데,160
제거,216
상품,770
다른,971
듯,413
기대,687
석도,25
편백,11
땐,60
지속,128
무향,9
리,88
필로,37
미리,253
바닥,145
벽면,6
사실,218
여태,13
벌레,1899
적응,15
화초,686
중이,73
어린이집,6
아가,94
촘,6
온,195
요리,24
필,45
푸릇푸릇,8
호환,25
코로나,34
활동,13
뭔가,188
거리,430
후눈,5
별,183
위,606
콩,10
속도,131
곧,91
반신반의,51
젠,93
드림,4
알카,3
시아,19
피고,58
쭈굴,3
처럼,46
경험,80
날이갈수록,4
기운,49
별로,346
게,527
제대로,98
몇번,110
푸릇파릇,2
말라가,26
몬스테라,223
쿠팡,141
로켓,46
어제,85
오늘,332
일찍,26
좀더,172
경제,12
부디,52
무럭무럭,208
발견,163
관심,64
쏙,20
칭찬,48
임,51
분통,4
화원,21
물건,184
과습,106
물이,115
수경재배,336
일주일,343
은,285
변화,331
설명,495
문의,161
내용,85
답변,108
칠,5
가나,5
리터,144
기준,139
소주잔,2
컵,50
다해,63
대박,82
약품,40
하루,513
포장,746
병행,16
에드,36
지식,66
초보,284
식,434
집사,466
이기,84
함부로,27
비료,334
비율,68
문제,456
차라리,59
정보,111
과,162
칼슘,34
질소,57
인,119
칼륨,27
성장,420
음지,122
눈,699
개운,54
수분,64
마르지,27
코팅,40
개운죽,36
대부분,128
점점,191
마르,27
뭐,222
확인,389
대한,97
신분,63
은사,27
마냥,83
과학,27
원리,66
작용,30
상세,103
결정,157
면,180
엽,91
시비,63
시도,42
상황,187
파악,27
호불호,35
스모키,27
랄,50
누군가,46
표현,27
부족함,33
무력,29
다소,43
안개,31
곱,27
곳,458
방식,64
제이,14
집의,51
보완,35
집합,14
분자,14
구성,348
구성은,35
차이점,22
깊이,22
습도,78
조절,697
돈,147
요소,37
여러가지,96
제약,17
속,209
를,251
섭취,14
응축,14
그,342
화단,71
뱅,53
고무나무,119
그로,18
량,33
테,74
로서,50
값,123
편이,57
나무,346
사이즈,237
분무액,14
화근,14
내,111
반드시,46
사람,429
따라서,60
가족,111
낮,61
지기,32
시기,174
겨울철,89
요령,14
껏,52
깅,14
강,142
층,75
도보,3
도로,22
창문,129
블라인드,5
부모님,145
정성,84
미니,137
옹기종기,51
다육식물,21
살,246
저희,260
비교,219
효능,111
매일,256
나니,121
보,260
유자,13
초록색,37
마침,76
우연,26
선물,420
무척,58
겸,39
인테리어,816
집콕,8
생활,102
낙,29
최근,134
상태,437
파서,14
애낌,8
한참,92
사시,27
코,101
리하,21
색,393
노래,6
썻었,3
티,49
엄마,332
아리,11
맘껏,22
계시,9
기능,562
울,20
둘,162
셧다,9
분갈이,258
머,21
신경,275
은근,29
제중,12
체고,4
으뜸,4
장마철,106
품질,73
쟁,10
영양분,89
먹기,22
의사,94
프로,64
효도,18
형식,92
위치,138
파릇파릇,28
서온,6
천지,6
겨우내,31
춥다,6
날씨,219
만,76
고영,11
촵촵,6
진작,120
내년,69
올리브,101
나타남,3
새싹,203
이상,412
돌기,3
직방,3
완전,438
강추,85
간식,18
치,53
기본,39
적지,7
꽃들이,24
편입,9
니,174
올해,210
결실,5
여기저기,104
피기,8
유럽,5
제라늄,291
여러분,52
장점,166
최고,229
미학,8
하규,8
한지,122
모습,79
더군다나,10
강아지,103
고양이,85
아랑,8
칠이,11
헤헤,8
초록빛,21
봄,301
쉬,2
보기,114
걸알,4
식린,70
힐링,80
휴식,23
아들,13
하하,15
캐나다,13
서강,13
담당,16
살짝,277
공부,77
몇몇,37
심지어,104
아예,82
각각,84
등등,108
회사원,19
여유도,13
모자,13
판,36
얘기,61
퇴근,41
저기,13
메인,16
정답,13
학교,28
옆반,7
선생님,9
가게,18
몇개,162
김,3
세트,170
약간,299
노력,81
과꽃,5
푸르렀으,5
개인,100
남,45
만해,11
대감,33
게다가,34
사용성,2
걸,341
살기,9
대체,49
얼마나,134
뜸뿍,5
그대로,75
두툼,21
거의,286
화장품,3
로션,3
살충제,397
연하,3
쯤,40
노란색,74
변색,19
가까이,135
손,162
산,188
믿음,87
직,25
판매,403
번창,217
푹,39
통풍,89
자마자,161
필순,7
동이,7
표시,19
리필액,7
첨부,102
첫,77
두번째,94
애가,32
순이,171
하늘,6
가집,4
크게,150
앞집,3
아주머니,3
가면,23
주신,96
계단,3
방치,35
마르고,14
소진,2
놉놉,2
취미,73
이자,2
법도,29
연쇄,3
살인마,10
물주,81
나중,107
꽃잎,2
글,111
국화,33
철,12
이오,16
꽃몽,8
아리랑,8
보시,90
몽아리,8
감사,247
개발,30
액,458
여분,13
계획,46
가드,24
너,66
강력,65
자취,15
가드닝,49
무턱,7
대고,31
죽,105
햇,63
변햇던,7
무엇,177
관찰,40
찍엇습니,7
시,167
한약,12
식초,5
꼬리,5
안방,30
다가,97
남편,24
몬,5
이틀,147
유,48
썻,9
벌써,139
글씨,6
구어,5
체,6
사장,99
사랑,151
볼,200
능,7
반려동물,27
진짜진짜,5
예상,26
일보,12
열기,13
안나,85
달뒤,54
새해,7
맞이,17
이용,294
세,86
원인,14
불명,4
건,266
줄,401
그동안,63
줄때,66
지난,116
현재,90
태양,7
등,3524
남향,116
서향,26
감히,19
난관,4
물방울,14
방수,4
나머지,48
오히려,61
독,4
후두,4
마름,33
산세베리아,41
지지,207
매우,573
감당,49
실천,2
새끼,4
세상,57
만상,2
깜놀,9
요건,19
회사,165
데리,38
흠뻑,119
솔직,7
고해,86
카페,50
고분,3
무시,11
특,3
유의,4
진듯,8
욤,13
분양,28
가서영,3
저렴,16
전보,8
이유,166
아이템,8
밥,15
먹듯,1
유해,1
현상,40
방토,10
빳빳해,4
당분간,17
음,84
이군,1
분무잎,1
서로,1
겹,4
친부,1
썪으,1
조심,21
소견,1
만족도,37
앰플형,6
얼마,212
중국산,6
원산지,6
거나,64
장만,63
무형,12
주네,21
어려움,28
오래오래,53
씨앗,147
유지,81
목초,27
호분,7
도록,24
불쾌감,7
자,150
아버지,52
난,122
조량,95
최대한,33
앰플,5
텃밭,693
죽지,105
려,52
주시,153
농부,33
짱,37
갑자기,78
뻔,15
행사,50
퀄리티,37
장미,151
주일,18
지나,82
끝집,2
승차,2
금전,62
반짝,17
에프,5
터,49
수가,140
제습기,5
옆,214
두부,10
먼저,192
바질,136
의향,18
차,140
택배,92
사의,51
분실,2
자켜,5
친정,23
로부터,51
평소,29
사형,4
스트레이트,4
손실,4
릿,4
남아,28
목도,6
여부,12
하엽,9
한장,21
신엽,18
껍데기,3
우수수,21
호박,6
진해,8
이제야,28
살맛,6
생기지,8
헤퍼,4
금주,2
문해,8
쥤,1
평보,2
장난,18
숯불,2
스름,2
목,63
캐,2
듬북뿌렷,3
듬북,3
문,34
아픔,3
효가,6
걱,3
진드기,66
박사,9
여사,6
시댁,5
아차,20
파손,61
연락,43
피드백,5
뚜껑,65
배달,31
박,11
개봉,50
박스,232
용액,84
소실,3
반품,19
뚝뚝,3
일상,6
지인,137
주전,5
군데,19
생,31
장기,10
대가,191
분명,17
소리,55
제나,15
주지,34
모처럼,5
블로그,79
쓰시,51
전이,258
잔득,3
면역,15
난후,20
달,615
공간,214
나뭇잎,2
달후,93
참고,225
고,47
그루,28
그간,7
담뿍,6
구세주,8
자극,36
계절,23
꼴,11
라보,6
어서,29
파,22
키라,20
인체엧무해,2
엄,8
마,30
사드,1
므,36
쟐,1
대응,24
쪽,228
제법,25
무성,22
상,125
마이,2
자체,178
어린이,2
반려견,9
윤,9
마은,2
보약,5
전용,62
단연,3
추후,35
재,154
예정,314
취향,18
숲,9
이용만,7
잡,38
물의,13
산성,7
정해,15
계세,13
기회,36
혜자,7
필용,3
작년,300
꽃봉오리,10
득,2
실,45
한결,5
지고,29
창고,3
풀이,40
종종,48
우주,4
목목,2
땜,19
고생,67
색깔,181
푸릇,14
질,31
제주,5
외부,40
예전,108
달라,58
모,30
리피,6
봉우리,34
왜,153
운명,12
꽃집,13
언제,21
거렸,6
요것,24
다한,6
갈수,18
공,7
직장,2
부장,2
금손,2
정적,4
이면,64
신세계,21
처리,85
혁명,4
방,659
주방,24
초,37
돌입,1
온도,45
종이,68
꼽는,1
콕,14
알갱이,7
투여,9
색상,196
푸릇푸릇해,4
인터넷,91
쌩,9
제만,47
잎새,6
뚜,12
주로,58
시골,30
더니,28
바짝,17
욜,12
마치,37
응급,12
처방,12
수액,13
책,16
답,159
필수품,69
내일,32
공기,35
몸,71
자꾸만,23
컷으,12
사과,8
몸살,58
여러,271
이용도,4
주니,25
무종,3
고물,25
대사,3
진심,41
편,69
청,27
덕,54
필요,219
드뎌,4
자신감,16
오구,4
어머님,18
챡챡,5
공병,6
해해,5
사무,5
실용,50
서여,5
대중,34
들보,3
급,19
반응,48
요요,27
난리,25
공유,58
여기,416
오프라인,5
하루하루,9
얼른,66
활짝,14
죵,3
거좀,3
센스,61
무가,22
짝꿍,3
액체,104
류,145
뽁뽁,19
감겨,3
뿌듯,19
주변,175
올인원,3
착착,3
다행,117
이구,35
비록,8
난이,9
초옥,3
찻,3
가타,11
엑스,4
플랜트,4
밴드,30
가입,10
단종,4
변경,13
코노피튬들,4
탈피,9
입하,2
면서,37
반,43
피어,18
예방,287
컨디션,4
람,22
먀,2
별탈,2
평이,96
가득,48
안고,9
숯,8
가마,8
찜질방,12
단점,53
반절,8
산다,8
창가,159
햇살,48
마구,48
덕인,8
느깜,4
샹기,2
뿌파들,4
듯해,17
확눈,1
아기,23
자스민,34
가을,98
위기,4
관주,30
한겨울,12
로,133
실수,34
폭풍성,25
가지치기,34
초대,16
큐알,4
홍보,8
려니,4
관련,28
질문,33
디테,16
사례,4
양지,51
이동,27
금,16
다만,236
온건,17
취급,10
주의,92
관솔,28
밑,169
켜,278
꽃망울,23
페페,28
행운목,5
이웃,19
꽃님,5
건가,15
감,108
만큼,88
후회,77
병충해,125
얺,1
선명,5
던데,19
웃,22
전체,123
후두두,2
관엽식물,16
귤나무,17
희망,25
꼬박꼬박,12
쏙쏙,9
확실,11
보공,5
상담,88
수고,58
여간,1
연성,31
무늬,56
종,4
숯향,2
이나,37
이예,8
묘,23
뭣,1
키친,1
타월,1
스킨,115
스,122
늠,1
운영,35
이반,1
젔으,1
기전,30
박멸,316
과정,16
단지,2
헤픈,5
담번,2
성능,459
